caseid,sct,led,term,chief,value,mow,courtmedianqmi,firsthub,outdeg,year,complexity,mowideology,concurrences,varcourtqmi,conc,dissents,stat,totalac,nyt,legalsalience,source,unan,post1989
"346/0328","074/0088","098/0005",1953,"warren","economic activity","WAR",.575,.0383,3,1953,-.152566,.01,0,1.998861,0,0,1,0,"not nyt p1 story when decision came down","No","5C",1,0
"346/0338","074/0083","098/0039",1953,"warren","judicial power","FRK",.575,1.8647,5,1953,-.152566,.369,1,1.998861,1,2,1,0,"not nyt p1 story when decision came down","No","6C",0,0
"346/0346","074/0092","098/0051",1953,"warren","due process","MINT",.6965,5.8978,14,1953,-.152566,.818,0,2.283021,0,0,0,0,"not nyt p1 story when decision came down","No","CA",1,0
"346/0368","074/0109","098/0080",1953,"warren","judicial power","DOUG",.575,.7712,9,1953,-.152566,-2.876,0,1.998861,0,4,0,0,"not nyt p1 story when decision came down","No","",0,0
"346/0374","074/0113","098/0092",1953,"warren","criminal procedure","MINT",.472,.0343,4,1953,-.152566,.818,0,2.000601,0,0,1,0,"not nyt p1 story when decision came down","No","5C",1,0
"346/0379","074/0145","098/0106",1953,"warren","judicial power","CLK",.575,3.1237,17,1953,-.152566,.575,1,1.998861,1,3,1,0,"not nyt p1 story when decision came down","No","5C",0,0
"346/0389","074/0152","098/0132",1953,"warren","first amendment","CLK",.575,.3976,5,1953,-.152566,.575,0,1.998861,0,3,1,0,"not nyt p1 story when decision came down","No","9C",0,0
"346/0406","074/0202","098/0143",1953,"warren","economic activity","BLC",.575,6.4092,22,1953,-.533749,-1.516,1,1.998861,1,3,0,0,"not nyt p1 story when decision came down","No","3C",0,0
"346/0427","074/0182","098/0168",1953,"warren","economic activity","REED",.575,.4307,9,1953,1.092047,1.432,1,1.998861,1,2,1,1,"not nyt p1 story when decision came down","No","2C",0,0
"346/0441","074/0190","098/0179",1953,"warren","criminal procedure","JACK",.575,31.2726,38,1953,-.152566,.844,2,1.998861,1,4,1,0,"not nyt p1 story when decision came down","No","SDGA",0,0
"346/0464","074/0172","098/0195",1953,"warren","unions","BURT",.575,4.262,10,1953,-.152566,1.272,0,1.998861,0,3,1,0,"p1 nyt story when case decided","No","DCC",0,0
"346/0482","074/0214","098/0215",1953,"warren","unions","BLC",.575,0,0,1953,-.152566,-1.516,0,1.998861,0,1,1,0,"not nyt p1 story when decision came down","No","9C",0,0
"346/0485","074/0161","098/0228",1953,"warren","federalism","JACK",.575,9.807401,21,1953,-.152566,.844,0,1.998861,0,0,1,3,"not nyt p1 story when decision came down","No","PA",1,0
"346/0502","074/0247","098/0248",1953,"warren","criminal procedure","REED",.575,1.7353,24,1954,.990983,1.432,0,1.998861,0,4,0,0,"not nyt p1 story when decision came down","No","2C",0,0
"346/0521","074/0261","098/0261",1953,"warren","economic activity","DOUG",.575,.5435,3,1954,-.152566,-2.876,0,1.998861,0,0,1,0,"not nyt p1 story when decision came down","No","DCC",1,0
"346/0537","074/0257","098/0273",1953,"warren","economic activity","CLK",.6965,1.4449,6,1954,.7108645,.575,0,.8580584,0,1,0,0,"not nyt p1 story when decision came down","No","4C",0,0
"346/0545","074/0280","098/0281",1953,"warren","criminal procedure","BURT",.472,6.7001,18,1954,-.152566,1.272,0,2.000601,0,1,0,0,"not nyt p1 story when decision came down","No","MD",0,0
"346/0556","074/0298","098/0290",1953,"warren","judicial power","BLC",.575,6.9267,14,1954,-.533749,-1.516,1,1.998861,1,2,0,0,"not nyt p1 story when decision came down","No","CA",0,0
"346/0568","074/0287","098/0300",1953,"warren","economic activity","BLC",.575,.6265,15,1954,-.152566,-1.516,0,1.998861,0,1,1,0,"not nyt p1 story when decision came down","No","1C",0,0
"346/0574","074/0290","098/0317",1953,"warren","federalism","MINT",.575,1.1935,8,1954,-.152566,.818,1,1.998861,1,2,0,0,"not nyt p1 story when decision came down","No","8C",0,0
"347/0001","074/0358","098/0435",1953,"warren","criminal procedure","WAR",.472,.3867,11,1954,1.372166,.01,0,2.000601,0,3,0,0,"not nyt p1 story when decision came down","No","5C",0,0
"347/0017","074/0323","098/0455",1953,"warren","unions","REED",.575,9.778999,30,1954,.7108645,1.432,3,1.998861,1,2,1,1,"not nyt p1 story when decision came down","No","2C",0,0
"347/0062","074/0354","098/0503",1953,"warren","criminal procedure","FRK",.575,.6698,5,1954,-.152566,.369,0,1.998861,0,2,0,0,"not nyt p1 story when decision came down","No","8C",0,0
"347/0067","074/0347","098/0508",1953,"warren","economic activity","DOUG",.575,0,0,1954,-.152566,-2.876,0,1.998861,0,0,1,0,"not nyt p1 story when decision came down","No","DCC",1,0
"347/0074","074/0350","098/0513",1953,"warren","economic activity","DOUG",.575,.0517,3,1954,-.152566,-2.876,0,1.998861,0,0,1,1,"not nyt p1 story when decision came down","No","DCC",1,0
"347/0081","074/0367","098/0520",1953,"warren","federal taxation","MINT",.575,.125,8,1954,-.152566,.818,0,1.998861,0,0,1,0,"not nyt p1 story when decision came down","No","CT",1,0
"347/0089","074/0414","098/0532",1953,"warren","economic activity","REED",.369,1.6669,14,1954,-.152566,1.432,0,2.501531,0,2,0,0,"not nyt p1 story when decision came down","No","9C",0,0
"347/0110","074/0403","098/0546",1953,"warren","economic activity","REED",.575,12.7261,25,1954,.228617,1.432,0,1.998861,0,3,0,0,"not nyt p1 story when decision came down","Yes","AR",0,0
"347/0128","074/0381","098/0561",1953,"warren","criminal procedure","JACK",.575,7.0622,56,1954,-.152566,.844,1,1.998861,1,4,0,0,"p1 nyt story when case decided","No","CAAP",0,0
"347/0157","074/0396","098/0583",1953,"warren","economic activity","CLK",.575,24.2852,23,1954,-.152566,.575,0,1.998861,0,0,0,0,"not nyt p1 story when decision came down","Yes","TXAP",1,0
"347/0171","074/0438","098/0594",1953,"warren","unions","WAR",.575,.3404,2,1954,-.152566,.01,0,1.998861,0,0,1,0,"not nyt p1 story when decision came down","No","CTCL",1,0
"347/0179","074/0442","098/0608",1953,"warren","criminal procedure","BLC",.575,6.7848,6,1954,-.152566,-1.516,2,1.998861,1,0,1,0,"not nyt p1 story when decision came down","No","MD",1,0
"347/0186","074/0452","098/0618",1953,"warren","unions","BLC",.575,8.257299,17,1954,-.152566,-1.516,0,1.998861,0,2,1,0,"not nyt p1 story when decision came down","No","NDIL",0,0
"347/0198","074/0455","098/0627",1953,"warren","unions","BLC",.575,0,1,1954,-.152566,-1.516,0,1.998861,0,2,1,0,"not nyt p1 story when decision came down","No","NDIL",0,0
"347/0201","074/0460","098/0630",1953,"warren","economic activity","REED",.575,3.88,28,1954,-.152566,1.432,0,1.998861,0,2,1,1,"not nyt p1 story when decision came down","No","4C",0,0
"347/0222","074/0447","098/0650",1953,"warren","civil rights","FRK",.575,1.5504,3,1954,.7108645,.369,0,1.998861,0,2,0,0,"not nyt p1 story when decision came down","No","WDWA",0,0
"347/0227","074/0450","098/0654",1953,"warren","criminal procedure","MINT",.6965,.0315,1,1954,-.533749,.818,0,2.283021,0,0,0,0,"not nyt p1 story when decision came down","No","9C",1,0
"347/0231","074/0505","098/0660",1953,"warren","economic activity","JACK",.575,4.5056,7,1954,.228617,.844,2,1.998861,1,0,0,0,"not nyt p1 story when decision came down","No","MO",1,0
"347/0239","074/0487","098/0666",1953,"warren","economic activity","BURT",.369,3.333,14,1954,-.152566,1.272,0,2.17734,0,3,1,1,"not nyt p1 story when decision came down","No","DCC",0,0
"347/0260","074/0499","098/0681",1953,"warren","civil rights","CLK",.575,.6386,6,1954,1.092047,.575,0,1.998861,0,4,1,0,"not nyt p1 story when decision came down","No","2C",0,0
"347/0284","074/0593","098/0699",1953,"warren","economic activity","WAR",.6965,.7459,5,1954,-.152566,.01,0,.8580584,0,0,1,0,"p1 nyt story when case decided","No","SDNY",1,0
"347/0298","074/0574","098/0710",1953,"warren","economic activity","FRK",.818,3.1164,4,1954,.7108645,.369,0,2.15978,0,3,0,0,"not nyt p1 story when decision came down","No","5C",0,0
"347/0334","074/0555","098/0733",1953,"warren","economic activity","FRK",.575,.4904,3,1954,-.152566,.369,0,1.998861,0,3,1,0,"not nyt p1 story when decision came down","No","5C",0,0
"347/0340","074/0535","098/0744",1953,"warren","economic activity","JACK",.575,175.3556,195,1954,-.152566,.844,0,1.998861,0,4,0,0,"not nyt p1 story when decision came down","Yes","MD",0,0
"347/0359","074/0558","098/0757",1953,"warren","economic activity","JACK",.575,15.9103,13,1954,-.152566,.844,0,1.998861,0,4,0,0,"not nyt p1 story when decision came down","Yes","VA",0,0
"347/0373","074/0550","098/0767",1953,"warren","federalism","JACK",.575,6.6636,5,1954,-.152566,.844,0,1.998861,0,1,0,3,"not nyt p1 story when decision came down","No","NY",0,0
"347/0381","074/0566","098/0785",1953,"warren","criminal procedure","CLK",.575,.0746,1,1954,-.152566,.575,0,1.998861,0,4,1,0,"not nyt p1 story when decision came down","No","NDGA",0,0
"347/0409","074/0608","098/0806",1953,"warren","economic activity","FRK",.575,7.4654,21,1954,-.152566,.369,1,1.998861,1,4,1,0,"not nyt p1 story when decision came down","No","5C",0,0
"347/0442","074/0650","098/0829",1953,"warren","first amendment","BURT",.575,10.9941,21,1954,-.152566,1.272,0,1.998861,0,3,0,0,"not nyt p1 story when decision came down","No","NY",0,0
"347/0475","074/0667","098/0866",1953,"warren","civil rights","WAR",.575,5.3874,11,1954,.7108645,.01,0,1.998861,0,0,0,0,"p1 nyt story when case decided","No","TX",1,0
"347/0483","074/0686","098/0873",1953,"warren","civil rights","WAR",.575,3.8407,16,1954,-.152566,.01,0,1.998861,0,0,0,6,"p1 nyt story when case decided","Yes","EDVA",1,0
"347/0497","074/0693","098/0884",1953,"warren","civil rights","WAR",.575,4.6325,10,1954,-.152566,.01,0,1.998861,0,0,0,4,"p1 nyt story when case decided","No","DCC",1,0
"347/0501","074/0699","098/0887",1953,"warren","federalism","DOUG",.472,2.791,6,1954,.6098,-2.876,0,2.196196,0,1,1,0,"not nyt p1 story when decision came down","No","9C",0,0
"347/0507","074/0695","098/0898",1953,"warren","economic activity","DOUG",.575,.1093,3,1954,-.152566,-2.876,0,1.998861,0,0,1,1,"not nyt p1 story when decision came down","No","9C",1,0
"347/0514","074/0703","098/0903",1953,"warren","economic activity","CLK",.818,.0674,2,1954,.228617,.575,0,.2456257,0,0,1,0,"not nyt p1 story when decision came down","No","NDIL",1,0
"347/0522","074/0737","098/0911",1953,"warren","civil rights","FRK",.575,4.1052,14,1954,-.152566,.369,1,1.998861,1,2,1,0,"p1 nyt story when case decided","No","9C",0,0
"347/0535","074/0745","098/0933",1953,"warren","judicial power","BURT",.575,1.7542,13,1954,-.152566,1.272,0,1.998861,0,0,0,0,"not nyt p1 story when decision came down","No","NDCA",1,0
"347/0556","074/0716","098/0948",1953,"warren","criminal procedure","BLC",.472,3.1546,12,1954,-.152566,-1.516,0,2.196196,0,3,0,0,"p1 nyt story when case decided","No","2C",0,0
"347/0590","074/0757","098/0967",1953,"warren","economic activity","REED",.575,43.6776,43,1954,-.152566,1.432,2,1.998861,1,2,0,0,"not nyt p1 story when decision came down","No","NB",0,0
"347/0612","074/0808","098/0989",1953,"warren","first amendment","WAR",.5935,16.6207,28,1954,.6098,.01,0,2.248626,0,3,0,0,"p1 nyt story when case decided","No","DDC",0,0
"347/0637","074/0822","098/1009",1953,"warren","civil rights","WAR",.575,1.082,10,1954,-.152566,.01,0,1.998861,0,3,1,0,"not nyt p1 story when decision came down","No","9C",0,0
"347/0645","074/0826","098/1015",1953,"warren","economic activity","FRK",.472,1.61,4,1954,-.152566,.369,0,2.196196,0,3,0,0,"not nyt p1 story when decision came down","No","SDFL",0,0
"347/0656","074/0833","098/1025",1953,"warren","federalism","BURT",.472,1.5297,10,1954,-.152566,1.272,0,2.196196,0,2,1,1,"not nyt p1 story when decision came down","No","VA",0,0
"347/0672","074/0794","098/1035",1953,"warren","economic activity","MINT",.472,13.2161,25,1954,-.152566,.818,1,2.196196,1,3,1,3,"not nyt p1 story when decision came down","No","DCC",0,0
"348/0011","075/0011","099/0011",1954,"warren","criminal procedure","FRK",.159,1.248,6,1954,-.533749,.368,2,2.960578,1,2,0,0,"not nyt p1 story when decision came down","No","DCC",0,0
"348/0019","075/0006","099/0020",1954,"warren","economic activity","MINT",.159,.2736,12,1954,.228617,.844,0,3.102858,0,1,1,0,"not nyt p1 story when decision came down","No","2C",0,0
"348/0026","075/0098","099/0027",1954,"warren","due process","DOUG",.2635,4.4131,13,1954,-.152566,-3.468,0,2.708375,0,0,0,0,"not nyt p1 story when decision came down","No","DDC",1,0
"348/0037","075/0092","099/0046",1954,"warren","criminal procedure","BURT",.2635,2.0702,13,1954,.228617,1.24,0,2.708375,0,2,0,0,"not nyt p1 story when decision came down","No","WA",0,0
"348/0048","075/0151","099/0059",1954,"warren","judicial power","WAR",.2635,1.9686,12,1954,-.152566,-.434,1,2.708375,1,0,0,0,"not nyt p1 story when decision came down","No","5C",1,0
"348/0061","075/0191","099/0068",1954,"warren","federalism","BLC",.2635,1.4423,3,1954,-.152566,-1.582,0,2.708375,0,0,1,3,"not nyt p1 story when decision came down","No","IL",1,0
"348/0066","075/0166","099/0074",1954,"warren","economic activity","BLC",.2635,18.9978,34,1954,.990983,-1.582,1,2.708375,1,0,0,0,"not nyt p1 story when decision came down","No","5C",1,0
"348/0084","075/0158","099/0101",1954,"warren","criminal procedure","REED",.2635,.2954,5,1954,-.533749,1.444,1,2.708375,1,1,0,0,"not nyt p1 story when decision came down","No","6C",0,0
"348/0096","075/0176","099/0125",1954,"warren","unions","FRK",.2635,.4541,4,1954,-.152566,.368,0,2.708375,0,0,0,2,"not nyt p1 story when decision came down","No","9C",1,0
"348/0105","075/0145","099/0135",1954,"warren","criminal procedure","DOUG",.2635,.775,7,1954,-.152566,-3.468,0,2.708375,0,0,0,0,"not nyt p1 story when decision came down","No","5C",1,0
"348/0110","075/0141","099/0139",1954,"warren","civil rights","DOUG",.2635,.1557,3,1954,-.152566,-3.468,0,2.708375,0,3,1,0,"not nyt p1 story when decision came down","No","2C",0,0
"348/0115","075/0148","099/0145",1954,"warren","economic activity","DOUG",.2635,1.3773,5,1954,.228617,-3.468,0,2.708375,0,0,1,0,"p1 nyt story when case decided","No","10C",1,0
"348/0121","075/0127","099/0150",1954,"warren","criminal procedure","CLK",.2635,.601,12,1954,-.152566,.159,0,2.708375,0,0,0,0,"not nyt p1 story when decision came down","No","10C",1,0
"348/0142","075/0138","099/0188",1954,"warren","criminal procedure","CLK",.2635,0,1,1954,-.152566,.159,0,2.708375,0,0,1,0,"not nyt p1 story when decision came down","No","6C",1,0
"348/0147","075/0194","099/0192",1954,"warren","criminal procedure","CLK",.2635,.4838,8,1954,-.152566,.159,0,2.708375,0,0,0,0,"not nyt p1 story when decision came down","No","1C",1,0
"348/0160","075/0186","099/0202",1954,"warren","federal taxation","CLK",.2635,.00531,2,1954,-.152566,.159,0,2.708375,0,1,0,0,"not nyt p1 story when decision came down","No","9C",0,0
"348/0170","075/0182","099/0210",1954,"warren","criminal procedure","MINT",.2635,1.3935,6,1954,.6098,.844,0,2.708375,0,0,1,0,"not nyt p1 story when decision came down","No","10C",1,0
"348/0176","075/0249","099/0233",1954,"warren","judicial power","REED",.2635,1.1956,24,1955,.228617,1.444,1,2.708375,1,2,1,0,"not nyt p1 story when decision came down","No","2C",0,0
"348/0187","075/0229","099/0246",1954,"warren","federal taxation","BURT",.2635,.7465,13,1955,-.152566,1.24,0,2.708375,0,2,0,0,"not nyt p1 story when decision came down","No","2C",0,0
"348/0207","075/0242","099/0260",1954,"warren","economic activity","CLK",.2635,1.0323,5,1955,-.152566,.159,0,2.708375,0,0,1,0,"not nyt p1 story when decision came down","No","5C",1,0
"348/0211","075/0239","099/0264",1954,"warren","federal taxation","MINT",.2635,.0163,4,1955,-.533749,.844,0,2.708375,0,0,0,0,"not nyt p1 story when decision came down","No","6C",1,0
"348/0215","075/0247","099/0268",1954,"warren","federal taxation","MINT",.2635,.00064,2,1955,-.533749,.844,0,2.708375,0,0,0,0,"not nyt p1 story when decision came down","No","5C",1,0
"348/0218","075/0244","099/0271",1954,"warren","federal taxation","MINT",.2635,.0414,5,1955,-.152566,.844,0,2.708375,0,0,1,0,"not nyt p1 story when decision came down","No","SC",1,0
"348/0222","075/0277","099/0279",1954,"warren","economic activity","WAR",.2635,6.7503,25,1955,-.152566,-.434,3,2.708375,1,0,1,0,"p1 nyt story when case decided","No","SDNY",1,0
"348/0236","075/0259","099/0290",1954,"warren","economic activity","WAR",.2635,5.7107,16,1955,-.152566,-.434,2,2.708375,1,2,1,1,"not nyt p1 story when decision came down","No","SDNY",0,0
"348/0254","075/0268","099/0302",1954,"warren","federal taxation","BURT",.2635,.00131,1,1955,-.152566,1.24,0,2.708375,0,2,1,0,"not nyt p1 story when decision came down","No","CTCL",0,0
"348/0272","075/0313","099/0314",1954,"warren","due process","REED",.2635,1.5233,29,1955,.6098,1.444,0,2.708375,0,3,0,3,"not nyt p1 story when decision came down","No","CTCL",0,0
"348/0296","075/0326","099/0329",1954,"warren","economic activity","BURT",.2635,.0768,2,1955,-.533749,1.24,0,2.708375,0,0,0,0,"not nyt p1 story when decision came down","No","4C",1,0
"348/0310","075/0368","099/0337",1954,"warren","economic activity","BLC",.2635,23.9428,46,1955,-.533749,-1.582,1,2.708375,1,2,0,1,"not nyt p1 story when decision came down","No","5C",0,0
"348/0336","075/0382","099/0354",1954,"warren","economic activity","DOUG",.2635,.4054,4,1955,-.533749,-3.468,1,2.708375,1,0,0,1,"not nyt p1 story when decision came down","No","5C",1,0
"348/0341","075/0386","099/0376",1954,"warren","economic activity","DOUG",.2635,.1446,2,1955,-.152566,-3.468,0,2.708375,0,2,0,0,"not nyt p1 story when decision came down","No","2C",0,0
"348/0351","075/0419","099/0383",1954,"warren","judicial power","BLC",.2635,.0841,1,1955,-.152566,-1.582,0,2.708375,0,1,1,0,"not nyt p1 story when decision came down","No","DCC",0,0
"348/0356","075/0423","099/0389",1954,"warren","judicial power","FRK",.368,1.4839,20,1955,-.533749,.368,0,1.098822,0,3,0,0,"p1 nyt story when case decided","No","2C",0,0
"348/0375","075/0392","099/0428",1954,"warren","first amendment","CLK",.2635,.189,2,1955,-.152566,.159,1,2.708375,1,2,0,0,"not nyt p1 story when decision came down","No","3C",0,0
"348/0385","075/0403","099/0436",1954,"warren","first amendment","CLK",.2635,.1976,3,1955,-.152566,.159,0,2.708375,0,2,0,0,"not nyt p1 story when decision came down","No","7C",0,0
"348/0397","075/0397","099/0453",1954,"warren","first amendment","CLK",.2635,.1456,3,1955,-.152566,.159,2,2.708375,1,2,0,0,"not nyt p1 story when decision came down","No","7C",0,0
"348/0407","075/0409","099/0467",1954,"warren","first amendment","CLK",.2635,3.8731,14,1955,-.152566,.159,0,2.708375,0,3,0,0,"not nyt p1 story when decision came down","No","6C",0,0
"348/0419","075/0415","099/0475",1954,"warren","criminal procedure","MINT",.2635,.8173,4,1955,.6098,.844,0,2.708375,0,3,0,0,"not nyt p1 story when decision came down","No","DCC",0,0
"348/0426","075/0473","099/0483",1954,"warren","federal taxation","WAR",.2635,1.6725,19,1955,-.152566,-.434,0,2.708375,0,1,1,0,"not nyt p1 story when decision came down","No","3C",0,0
"348/0434","075/0478","099/0504",1954,"warren","federal taxation","WAR",.2635,.0175,1,1955,-.152566,-.434,1,2.708375,1,0,1,0,"not nyt p1 story when decision came down","No","2C",1,0
"348/0437","075/0489","099/0510",1954,"warren","judicial power","FRK",.2635,10.0747,23,1955,-.152566,.368,3,2.708375,1,2,1,0,"not nyt p1 story when decision came down","No","3C",0,0
"348/0468","075/0480","099/0546",1954,"warren","federalism","FRK",.2635,1.7672,13,1955,-.152566,.368,1,2.708375,1,0,1,2,"not nyt p1 story when decision came down","No","MO",1,0
"348/0483","075/0461","099/0563",1954,"warren","economic activity","DOUG",.2635,8.2044,11,1955,.228617,-3.468,0,2.708375,0,0,0,6,"not nyt p1 story when decision came down","No","WDOK",1,0
"348/0492","075/0467","099/0583",1954,"warren","economic activity","BURT",.2635,.9164,11,1955,-.152566,1.24,0,2.708375,0,0,0,0,"not nyt p1 story when decision came down","No","10C",1,0
"348/0503","075/0504","099/0594",1954,"warren","criminal procedure","REED",.2635,.1202,3,1955,.228617,1.444,0,3.331078,0,0,1,0,"not nyt p1 story when decision came down","No","DDC",1,0
"348/0511","075/0452","099/0600",1954,"warren","judicial power","FRK",.2635,1.4833,11,1955,.7108645,.368,0,2.708375,0,3,1,1,"not nyt p1 story when decision came down","No","6C",0,0
"348/0528","075/0513","099/0615",1954,"warren","civil rights","CLK",.2635,2.1531,3,1955,-.152566,.159,0,2.708375,0,0,1,0,"not nyt p1 story when decision came down","No","1C",1,0
"348/0540","075/0509","099/0624",1954,"warren","civil rights","CLK",.2635,.00392,2,1955,-.152566,.159,0,2.708375,0,0,1,0,"not nyt p1 story when decision came down","No","2C",1,0
"349/0029","075/0544","099/0789",1954,"warren","judicial power","MINT",.2635,.4501,12,1955,-.152566,.844,0,2.708375,0,3,1,0,"not nyt p1 story when decision came down","No","3C",0,0
"349/0048","075/0591","099/0868",1954,"warren","civil rights","BLC",.368,.0854,2,1955,-.152566,-1.582,0,2.49015,0,3,0,0,"not nyt p1 story when decision came down","No","2C",0,0
"349/0058","075/0585","099/0883",1954,"warren","criminal procedure","REED",.2635,5.2388,15,1955,-.152566,1.444,3,2.708375,1,2,0,1,"p1 nyt story when case decided","No","NY",0,0
"349/0070","075/0614","099/0897",1954,"warren","judicial power","FRK",.2635,3.2893,33,1955,-.152566,.368,0,2.708375,0,3,0,0,"not nyt p1 story when decision came down","No","IA",0,0
"349/0081","075/0620","099/0905",1954,"warren","criminal procedure","FRK",.368,1.7315,2,1955,-.152566,.368,0,2.49015,0,3,1,0,"not nyt p1 story when decision came down","No","6C",0,0
"349/0085","075/0629","099/0911",1954,"warren","economic activity","BLC",.2635,4.7208,24,1955,-.533749,-1.582,1,2.708375,1,3,0,1,"not nyt p1 story when decision came down","No","5C",0,0
"349/0122","075/0649","099/0933",1954,"warren","economic activity","BLC",.2635,.0643,4,1955,-.533749,-1.582,2,2.708375,1,2,0,0,"not nyt p1 story when decision came down","No","4C",0,0
"349/0129","075/0654","099/0939",1954,"warren","economic activity","BLC",.2635,.0272,3,1955,-.533749,-1.582,0,2.708375,0,2,0,0,"not nyt p1 story when decision came down","No","2C",0,0
"349/0133","075/0623","099/0942",1954,"warren","due process","BLC",.368,.7351,6,1955,-.152566,-1.582,0,2.49015,0,3,0,0,"not nyt p1 story when decision came down","No","MI",0,0
"349/0143","075/0607","099/0950",1954,"warren","economic activity","HAR",.2635,14.2829,15,1955,.7108645,.862,0,2.573024,0,0,0,1,"not nyt p1 story when decision came down","Yes","OH",1,0
"349/0155","075/0668","099/0964",1954,"warren","criminal procedure","WAR",.368,3.6251,19,1955,.228617,-.434,1,2.49015,1,1,0,0,"p1 nyt story when case decided","No","DCC",0,0
"349/0190","075/0687","099/0997",1954,"warren","criminal procedure","WAR",.368,1.3486,16,1955,-.152566,-.434,0,2.49015,0,3,0,1,"p1 nyt story when case decided","No","DCC",0,0
"349/0219","075/0712","099/1016",1954,"warren","criminal procedure","WAR",.368,.1314,4,1955,-.152566,-.434,0,2.49015,0,3,1,0,"p1 nyt story when case decided","No","DCC",0,0
"349/0232","075/0733","099/1024",1954,"warren","federal taxation","DOUG",.2635,.025,2,1955,-.152566,-3.468,0,2.708375,0,0,1,0,"not nyt p1 story when decision came down","No","CTCL",1,0
"349/0237","075/0736","099/1029",1954,"warren","federal taxation","DOUG",.2635,.822,7,1955,-.152566,-3.468,0,2.708375,0,3,1,0,"not nyt p1 story when decision came down","No","2C",0,0
